Musteri_ID,Yas,Gelir,Kredi_Skoru,Aylik_Harcama,Departman,Durum
101,25.0,35000.0,72.5,3200,Yazilim,Aktif
102,32.0,48000.0,84.0,4500,Satis,Aktif
103,,72000.0,91.2,6800,Pazarlama,Pasif
104,45.0,,68.0,5100,Yazilim,Aktif
105,52.0,95000.0,96.0,8900,Yonetim,Aktif
106,29.0,32000.0,55.4,2900,IK,Aktif
107,38.0,68000.0,88.5,6400,Finans,Aktif
108,145.0,950000.0,99.0,180000,Yonetim,Aktif
109,24.0,28000.0,62.0,2600,Satis,Pasif
110,41.0,62000.0,78.4,5800,,Aktif
111,36.0,51000.0,81.0,4900,Finans,Aktif
112,,42000.0,,3900,Yazilim,Aktif
113,48.0,88000.0,92.8,8200,Satis,Aktif
114,27.0,36000.0,65.2,3400,IK,Aktif
115,8.0,18000.0,45.0,1500,Stajyer,Pasif
116,33.0,53000.0,79.5,5000,Yazilim,Aktif
117,58.0,,94.0,8800,,Aktif
118,26.0,38000.0,60.5,3600,Satis,Aktif
119,35.0,60000.0,82.0,5600,IK,Aktif
120,39.0,75000.0,,7100,Pazarlama,Aktif
